     A-150_TEq           1.127                6
     H        10.0535765
     C         6.4565649
     N         0.2502874
     O         0.3269810
     F         0.0917077
     CA        0.0458508
     Adipose            0.9500                7
     H        11.3106451
     C         4.9787693
     N         0.0499761
     O         1.7375650
     NA        0.0043498
     S         0.0031192
     CL        0.0028206
     Air_Dry          0.001205                4
     C         0.0010324
     N         5.3921905
     O         1.4486856
     AR        0.0321092
     Alanine             1.424                4
     H         7.8571286
     C         3.3672216
     N         1.1224129
     O         2.2448153
     B-100_BEq           1.450                6
     H         6.4959817
     C         4.4704189
     N         0.1534980
     O         0.2005325
     F         0.8812056
     CA        0.4405813
     Bakelite            1.250                3
     H         5.6993752
     C         6.4489970
     O         1.0498394
     Blood_Whole         1.060               10
     H        10.1200514
     C         0.9158272
     N         0.2356015
     O         4.6564245
     NA        0.0043498
     P         0.0032285
     S         0.0062383
     CL        0.0084619
     K         0.0051153
     FE        0.0017906
     Bone_Cortical       1.920                9
     H         3.3733506
     C         1.2904837
     N         0.2998565
     O         2.7188520
     NA        0.0043498
     MG        0.0082288
     P         0.3325395
     S         0.0093575
     CA        0.5613772
     Brain_Avg           1.040                9
     H        10.6161327
     C         1.2072268
     N         0.1570677
     O         4.4501672
     NA        0.0086995
     P         0.0129142
     S         0.0062383
     CL        0.0084619
     K         0.0076730
     Breast_Tissue       1.020                8
     H        10.5169153
     C         2.7641327
     N         0.2141832
     O         3.2938735
     NA        0.0043498
     P         0.0032285
     S         0.0062383
     CL        0.0028206
     C-552_AEq           1.760                5
     H         2.4487550
     C         4.1762552
     O         0.0282948
     F         2.4486742
     SI        0.0141461
     CdTe                6.200                2
     CD        0.4166515
     TE        0.4166474
     CaF                 3.180                2
     F         2.5616469
     CA        1.2807585
     CaSO4               2.960                3
     O         2.9381163
     S         0.7346662
     CA        0.7344935
     CsI                 4.510                2
     I         0.3848965
     CS        0.3848971
     Concrete            2.300               10
     H         2.1926780
     C         0.0206810
     O         3.5934472
     NA        0.0661512
     MG        0.0052088
     AL        0.0739506
     SI        1.0846415
     K         0.0256917
     CA        0.1071632
     FE        0.0115226
     Concrete_Barite     3.350                9
     H         0.3556901
     O         1.9477105
     MG        0.0049167
     AL        0.0155032
     SI        0.0372327
     S         0.3364254
     CA        0.1252345
     FE        0.0850628
     BA        0.3374354
     Eye_Lens            1.070                8
     H         9.5247545
     C         1.6235118
     N         0.4069481
     O         4.0376515
     NA        0.0043498
     P         0.0032285
     S         0.0093575
     CL        0.0028206
     Gad_Ox              7.440                3
     O         0.5283135
     S         0.2642046
     GD        0.5283110
     Gafchromic_Sens     1.300                4
     H         8.8996925
     C         5.0437098
     N         0.8010452
     O         1.2019202
     GaAs                5.310                2
     GA        0.6913798
     AS        0.6913494
     Pyrex               2.230                6
     B         0.3706383
     O         3.3723702
     NA        0.1226241
     AL        0.0431554
     SI        1.3431129
     K         0.0084940
     Glass_Lead          6.220                5
     O         0.9778679
     SI        0.2879279
     TI        0.0168935
     AS        0.0035384
     PB        0.3629045
     LiF                 2.635                2
     LI        3.8551364
     F         3.8551397
     Li2B4O7             2.440                3
     LI        1.1825528
     B         2.3655412
     O         4.1389303
     Lung_Tissue         1.050                9
     H        10.2192678
     C         0.8741987
     N         0.2213227
     O         4.6814256
     NA        0.0086995
     P         0.0064571
     S         0.0093575
     CL        0.0084619
     K         0.0051153
     MgB4O7              2.530                3
     B         2.2282145
     O         3.8986588
     MG        0.5569512
     HgI                 6.360                2
     I         0.4401420
     HG        0.2200708
     Muscle_Skeletal     1.050                9
     H        10.1200514
     C         1.1905755
     N         0.2427410
     O         4.4376664
     NA        0.0043498
     P         0.0064571
     S         0.0093575
     CL        0.0028206
     K         0.0102306
     Ovary               1.050                9
     H        10.4176998
     C         0.7742903
     N         0.1713466
     O         4.8001800
     NA        0.0086995
     P         0.0064571
     S         0.0062383
     CL        0.0056413
     K         0.0051153
     Emulsion_Kodak      2.200                6
     H         3.0260937
     C         1.7542254
     N         0.5147537
     O         1.0200382
     BR        0.2788346
     AG        0.2787667
     Emulsion_Nuclea     3.815                8
     H         1.3989484
     C         0.6016235
     N         0.1379340
     O         0.4131467
     S         0.0058952
     BR        0.4369043
     AG        0.4395233
     I         0.0024585
     Vinyltoluene        1.032                2
     H         8.4333763
     C         7.6180172
     Polyethylene       0.9300                2
     H        14.2589531
     C         7.1291652
     Mylar               1.380                3
     H         4.1631117
     C         5.2036967
     O         2.0814779
     PMMA                1.190                3
     H         7.9909716
     C         4.9941387
     O         1.9976562
     Polystyrene         1.060                2
     H         7.6814170
     C         7.6811171
     Teflon              2.250                2
     C         1.9996920
     F         3.9993784
     PVC                 1.406                3
     H         4.8002777
     C         3.2000749
     CL        1.6000254
     Radiochromic_Fi     1.080                4
     H        10.1196537
     C         5.4483056
     N         0.7061978
     O         0.9043652
     Testis              1.040                9
     H        10.5169153
     C         0.8242444
     N         0.1427888
     O         4.7876792
     NA        0.0086995
     P         0.0032285
     S         0.0062383
     CL        0.0056413
     K         0.0051153
     Tissue_Soft         1.060                9
     H        10.1200514
     C         1.1905755
     N         0.2427410
     O         4.4251661
     NA        0.0086995
     P         0.0096856
     S         0.0093575
     CL        0.0056413
     K         0.0076730
     Tissue_Soft         1.000                4
     H        10.0380983
     C         0.9241529
     N         0.1856255
     O         4.7615905
