     Se-Meth         1.00000                  5     semet-solid.CRS
     C         5.0000000
     H        11.0000000
     N         1.0000000
     O         2.0000000
     Se        1.0000000
     K2SeO4            1.00000                  3     seo4-ph7-1.CRS
     K         2.0000000
     Se        1.0000000
     O         4.0000000
     Na2SeO4            1.00000                  3    seo4-ph7-1.CRS
     NA        2.0000000
     Se        1.0000000
     O         4.0000000
     K2SeO3            1.00000                  3     seo3-ph7.CRS
     K         2.0000000
     Se        1.0000000
     O         3.0000000
     Na2SeO3            1.00000                  3    seo3-ph7.CRS
     NA        2.0000000
     Se        1.0000000
     O         3.0000000
     PCL             1.14500                  3
     C         6.0000000
     H        10.0000000
     O         2.0000000
     BaCl2           3.86000                  2
     Ba        1.0000000
     Cl        2.0000000
     A-150_TEq       1.12700                  6
     H        10.0535765
     C         6.4565649
     N         0.2502874
     O         0.3269810
     F         0.0917077
     CA        0.0458508
     Adipose         0.950000                 7
     H        11.3106451
     C         4.9787693
     N         0.0499761
     O         1.7375650
     NA        0.0043498
     S         0.0031192
     CL        0.0028206
     Air_Dry         0.00120500               4
     C         0.0010324
     N         5.3921905
     O         1.4486856
     AR        0.0321092
     Alanine         1.42400                  4
     H         7.8571286
     C         3.3672216
     N         1.1224129
     O         2.2448153
     B-100_BEq       1.45000                  6
     H         6.4959817
     C         4.4704189
     N         0.1534980
     O         0.2005325
     F         0.8812056
     CA        0.4405813
     Bakelite        1.25000                  3
     H         5.6993752
     C         6.4489970
     O         1.0498394
     Blood_Whole     1.06000                  10
     H        10.1200514
     C         0.9158272
     N         0.2356015
     O         4.6564245
     NA        0.0043498
     P         0.0032285
     S         0.0062383
     CL        0.0084619
     K         0.0051153
     FE        0.0017906
     Bone_Cortical   1.92000                  9
     H         3.3733506
     C         1.2904837
     N         0.2998565
     O         2.7188520
     NA        0.0043498
     MG        0.0082288
     P         0.3325395
     S         0.0093575
     CA        0.5613772
     Brain_Avg       1.04000                  9
     H        10.6161327
     C         1.2072268
     N         0.1570677
     O         4.4501672
     NA        0.0086995
     P         0.0129142
     S         0.0062383
     CL        0.0084619
     K         0.0076730
     Breast_Tissue   1.02000                  8
     H        10.5169153
     C         2.7641327
     N         0.2141832
     O         3.2938735
     NA        0.0043498
     P         0.0032285
     S         0.0062383
     CL        0.0028206
     C-552_AEq       1.76000                  5
     H         2.4487550
     C         4.1762552
     O         0.0282948
     F         2.4486742
     SI        0.0141461
     CdTe            6.20000                  2
     CD        0.4166515
     TE        0.4166474
     CaF             3.18000                  2
     F         2.5616469
     CA        1.2807585
     CaSO4           2.96000                  3
     O         2.9381163
     S         0.7346662
     CA        0.7344935
     CsI             4.51000                  2
     I         0.3848965
     CS        0.3848971
     Concrete        2.30000                  10
     H         2.1926780
     C         0.0206810
     O         3.5934472
     NA        0.0661512
     MG        0.0052088
     AL        0.0739506
     SI        1.0846415
     K         0.0256917
     CA        0.1071632
     FE        0.0115226
     Concrete_Bari   3.35000                  9
     H         0.3556901
     O         1.9477105
     MG        0.0049167
     AL        0.0155032
     SI        0.0372327
     S         0.3364254
     CA        0.1252345
     FE        0.0850628
     BA        0.3374354
     Eye_Lens        1.07000                  8
     H         9.5247545
     C         1.6235118
     N         0.4069481
     O         4.0376515
     NA        0.0043498
